Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,"CY 22
Enplanement s","CY 21
Enplanement s",% Change
104,SW,AR,XNA,Bentonville,Northwest Arkansas Ntl,P,S,"812,848","598,787",35.75%
105,SO,NC,GSO,Greensboro,Piedmont Triad International,P,S,"791,955","627,000",26.31%
106,NM,OR,EUG,Eugene,Mahlon Sweet Field,P,S,"781,745","566,111",38.09%
107,CE,KS,ICT,Wichita,Wichita Dwight D Eisenhower Ntl,P,S,"762,443","633,562",20.34%
108,SO,FL,ECP,Panama City,"Northwest Florida Beaches
International",P,S,"746,521","794,846",-6.08%
109,SO,VI,STT,"Charlotte
Amalie",Cyril E King,P,S,"719,594","731,693",-1.65%
110,SO,FL,EYW,Key West,Key West International,P,S,"708,807","741,130",-4.36%
111,NE,NH,MHT,Manchester,Manchester Boston Regional,P,S,"643,641","478,143",34.61%
112,WP,HI,ITO,Hilo,Hilo International,P,S,"636,426","358,471",77.54%
113,SW,TX,MAF,Midland,"Midland International Air And
Space Port",P,S,"633,964","504,264",25.72%
114,EA,PA,MDT,Harrisburg,Harrisburg International,P,S,"625,698","512,251",22.15%
115,EA,NY,ISP,Islip,Long Island MacArthur,P,S,"611,749","553,430",10.54%
116,CE,IA,CID,Cedar Rapids,The Eastern Iowa,P,S,"611,010","531,295",15.00%
117,WP,CA,SBA,Santa Barbara,Santa Barbara Municipal,P,S,"610,916","440,229",38.77%
118,GL,SD,FSD,Sioux Falls,Joe Foss Field,P,S,"606,055","501,423",20.87%
119,NE,VT,BTV,Burlington,Burlington International,P,S,"601,441","382,744",57.14%
120,SO,MS,JAN,Jackson,"Jackson-Medgar Wiley Evers
International",P,S,"598,799","466,067",28.48%
121,SO,AL,HSV,Huntsville,"Huntsville International-Carl T
Jones Field",P,S,"587,572","459,759",27.80%
122,SO,KY,LEX,Lexington,Blue Grass,P,S,"577,424","464,313",24.36%
123,GL,OH,DAY,Dayton,James M Cox Dayton International,P,S,"559,347","517,621",8.06%
124,CE,MO,SGF,Springfield,Springfield-Branson Ntl,P,S,"539,571","480,975",12.18%
125,SO,NC,ILM,Wilmington,Wilmington International,P,S,"537,591","462,572",16.22%
126,NM,OR,RDM,Redmond,Roberts Field,P,S,"513,659","422,214",21.66%
127,AL,AK,FAI,Fairbanks,Fairbanks International,P,S,"513,155","450,694",13.86%
128,SW,TX,HRL,Harlingen,Valley International,P,S,"508,867","355,190",43.27%
129,SO,SC,CAE,Columbia,Columbia Metro,P,S,"504,625","418,391",20.61%
130,NM,OR,MFR,Medford,"Rogue Valley International -
Medford",P,S,"504,085","437,079",15.33%
131,SW,TX,LBB,Lubbock,"Lubbock Preston Smith
International",P,S,"489,710","405,157",20.87%
132,GL,ND,FAR,Fargo,Hector International,P,S,"463,181","408,477",13.39%
Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,"CY 22
Enplanement s","CY 21
Enplanement s",% Change
133,EA,NJ,ACY,Atlantic City,Atlantic City International,P,S,"459,272","426,686",7.64%
134,SW,TX,MFE,McAllen,McAllen International,P,S,"452,925","477,636",-5.17%
135,SO,TN,CHA,Chattanooga,Lovell Field,P,S,"431,984","377,726",14.36%
136,WP,GU,GUM,Tamuning,Guam International,P,S,"425,651","150,718",182.42%
137,NM,MT,MSO,Missoula,Missoula Montana,P,S,"425,093","384,925",10.44%
,,,73,Small Count,,,,,,
138,NM,MT,GPI,Kalispell,Glacier Park International,P,N,"420,635","418,094",0.61%
139,EA,PA,ABE,Allentown,Lehigh Valley International,P,N,"419,772","355,841",17.97%
140,GL,WI,ATW,Appleton,Appleton International,P,N,"416,390","352,006",18.29%
141,NM,WY,JAC,Jackson,Jackson Hole,P,N,"399,897","497,548",-19.63%
142,SO,FL,TLH,Tallahassee,Tallahassee International,P,N,"397,029","319,886",24.12%
143,NM,WA,PSC,Pasco,Tri-Cities,P,N,"390,762","347,438",12.47%
144,NM,MT,BIL,Billings,Billings Logan International,P,N,"386,948","379,300",2.02%
145,AL,AK,JNU,Juneau,Juneau International,P,N,"385,178","306,512",25.66%
146,GL,IN,SBN,South Bend,South Bend International,P,N,"363,078","341,343",6.37%
147,GL,IN,FWA,Fort Wayne,Fort Wayne International,P,N,"359,800","335,804",7.15%
148,SW,TX,AMA,Amarillo,"Rick Husband Amarillo
International",P,N,"358,360","303,904",17.92%
149,NE,CT,HVN,New Haven,Tweed/New Haven,P,N,"351,867","29,732",1083.46%
150,SO,PR,BQN,Aguadilla,Rafael Hernandez,P,N,"346,166","228,524",51.48%
151,NE,ME,BGR,Bangor,Bangor International,P,N,"343,528","298,582",15.05%
152,SO,MS,GPT,Gulfport,Gulfport-Biloxi International,P,N,"339,323","317,112",7.00%
153,SO,FL,MLB,Melbourne,Melbourne Orlando International,P,N,"339,139","176,820",91.80%
154,SW,LA,BTR,Baton Rouge,"Baton Rouge Metro, Ryan Field",P,N,"332,335","279,159",19.05%
155,GL,SD,RAP,Rapid City,Rapid City Regional,P,N,"331,345","337,788",-1.91%
156,EA,NJ,TTN,Trenton,Trenton Mercer,P,N,"328,511","243,529",34.90%
157,NM,WA,BLI,Bellingham,Bellingham International,P,N,"321,487","160,160",100.73%
158,SW,TX,CRP,Corpus Christi,Corpus Christi International,P,N,"319,687","285,195",12.09%
159,NM,ID,IDA,Idaho Falls,Idaho Falls Regional,P,N,"308,414","217,863",41.56%
160,WP,CA,STS,Santa Rosa,"Charles M Schulz - Sonoma
County",P,N,"304,053","216,059",40.73%
161,GL,WI,GRB,Green Bay,"Green Bay/Austin Straubel
International",P,N,"301,377","264,755",13.83%
162,EA,VA,ROA,Roanoke,"Roanoke/Blacksburg Regional
(Woodrum Field)",P,N,"299,858","242,814",23.49%
163,NM,CO,ASE,Aspen,Aspen-Pitkin County/Sardy Field,P,N,"299,840","248,781",20.52%
164,GL,MI,FNT,Flint,Bishop International,P,N,"299,782","241,651",24.06%
165,GL,MI,TVC,Traverse City,Cherry Capital,P,N,"288,850","299,027",-3.40%
166,GL,IL,PIA,Peoria,"General Downing - Peoria
International",P,N,"284,322","237,442",19.74%
167,SO,FL,DAB,Daytona Beach,Daytona Beach International,P,N,"280,536","275,166",1.95%
168,WP,CA,SBP,"San Luis
Obispo",San Luis County Regional,P,N,"273,690","200,634",36.41%
169,SW,LA,SHV,Shreveport,Shreveport Regional,P,N,"272,981","246,772",10.62%
170,SO,GA,AGS,Augusta,Augusta Regional at Bush Field,P,N,"269,937","251,961",7.13%
171,GL,IL,MLI,Moline,Quad Cities International,P,N,"269,885","246,248",9.60%
172,SO,FL,GNV,Gainesville,Gainesville Regional,P,N,"266,349","200,444",32.88%
173,GL,OH,CAK,Akron,Akron-Canton Regional,P,N,"265,889","204,990",29.71%
174,EA,VA,CHO,Charlottesville- Albemarle Airport,Charlottesville-Albemarle,P,N,"262,725","214,395",22.54%
175,SO,AL,MOB,Mobile,Mobile Regional,P,N,"262,048","236,007",11.03%
176,NM,WA,PAE,Everett,Snohomish County (Paine Field),P,N,"260,724","114,988",126.74%
177,GL,ND,BIS,Bismarck,Bismarck Municipal,P,N,"242,918","215,056",12.96%
178,NM,CO,MTJ,Montrose,Montrose Regional,P,N,"233,094","188,355",23.75%
179,WP,CA,MRY,Monterey,Monterey Regional,P,N,"230,669","188,658",22.27%
Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,"CY 22
Enplanement s","CY 21
Enplanement s",% Change
180,SW,LA,LFT,Lafayette,"Lafayette Regional/Paul Fournet
Field",P,N,"226,249","208,047",8.75%
181,NM,CO,GJT,Grand Junction,Grand Junction Regional,P,N,"221,682","252,290",-12.13%
182,NM,CO,EGE,Eagle,Eagle County Regional,P,N,"214,998","201,752",6.57%
183,NM,UT,PVU,Provo,Provo Municipal,P,N,"211,741","118,740",78.32%
184,SO,VI,STX,Christiansted,Henry E Rohlsen,P,N,"204,320","218,795",-6.62%
185,NM,CO,HDN,Hayden,Yampa Valley,P,N,"197,088","150,142",31.27%
186,SO,TN,TRI,"Bristol/Johnson/
Kingsport",Tri-Cities,P,N,"191,882","157,214",22.05%
187,EA,PA,AVP,Avoca,Wilkes-Barre/Scranton International,P,N,"190,406","157,503",20.89%
188,NM,CO,DRO,Durango,Durango-La Plata County,P,N,"183,273","200,245",-8.48%
189,GL,IL,BMI,"Bloomington-
Normal Airport","Central Il Regional/Bloomington-
Normal",P,N,"175,665","159,897",9.86%
190,SO,NC,FAY,Fayetteville,Fayetteville Regional/Grannis Field,P,N,"165,721","188,451",-12.06%
191,EA,WV,CRW,Charleston,West Virginia International Yeager,P,N,"164,240","149,006",10.22%
192,GL,IL,BLV,Belleville,Scott AFB/Midamerica St Louis,P,N,"162,819","161,562",0.78%
193,EA,NY,SWF,Newburgh,New York Stewart International,P,N,"154,070","69,649",121.21%
194,GL,IN,EVV,Evansville,Evansville Regional,P,N,"153,652","164,807",-6.77%
195,SO,AL,MGM,Montgomery,"Montgomery Regional (Dannelly
Field)",P,N,"151,755","129,033",17.61%
196,GL,OH,LCK,Columbus,Rickenbacker International,P,N,"147,957","148,397",-0.30%
197,SW,LA,AEX,Alexandria,Alexandria International,P,N,"147,059","144,218",1.97%
198,AL,AK,KTN,Ketchikan,Ketchikan International,P,N,"143,786","117,728",22.13%
199,AL,AK,BET,Bethel,Bethel,P,N,"142,256","105,877",34.36%
200,NM,MT,GTF,Great Falls,Great Falls International,P,N,"141,802","132,267",7.21%
201,WP,CA,BFL,Bakersfield,Meadows Field,P,N,"141,352","131,327",7.63%
202,NE,MA,ACK,Nantucket,Nantucket Memorial,P,N,"140,621","135,526",3.76%
203,SW,TX,LRD,Laredo,Laredo International,P,N,"139,396","108,992",27.90%
204,GL,ND,MOT,Minot,Minot International,P,N,"139,351","126,575",10.09%
205,SO,NC,OAJ,Jacksonville,Albert J Ellis,P,N,"138,235","162,567",-14.97%
207,NM,UT,SGU,St. George,St George Regional,P,N,"128,453","153,200",-16.15%
208,SW,TX,BRO,Brownsville,"Brownsville/South Padre Island
International",P,N,"127,239","167,957",-24.24%
209,SW,TX,GRK,Killeen,Robert Gray AAF,P,N,"126,160","142,253",-11.31%
210,EA,PA,LBE,Latrobe,Arnold Palmer Regional,P,N,"124,422","124,514",-0.07%
211,SO,NC,JQF,Concord,Concord-Padgett Regional,P,N,"124,276","139,173",-10.70%
212,SW,NM,SAF,Santa Fe,Santa Fe Regional,P,N,"123,452","94,906",30.08%
213,WP,AZ,NYL,Yuma,Yuma MCAS/Yuma International,P,N,"121,864","110,182",10.60%
214,GL,IL,RFD,Rockford,Chicago/Rockford International,P,N,"121,544","102,779",18.26%
215,WP,CA,ACV,Arcata,"California Redwood Coast-
Humboldt County",P,N,"118,924","94,652",25.64%
216,GL,MN,DLH,Duluth,Duluth International,P,N,"118,242","108,585",8.89%
217,SO,SC,HXD,"Hilton Head
Island",Hilton Head,P,N,"114,475","176,371",-35.09%
218,EA,PA,UNV,State College,University Park,P,N,"112,474","122,404",-8.11%
219,SO,PR,PSE,Ponce,Mercedita,P,N,"109,691","32,584",236.64%
220,WP,MP,GSN,Saipan,"Francisco C Ada/Saipan
International",P,N,"102,781","58,382",76.05%
221,NM,ID,SUN,Hailey,Friedman Memorial,P,N,"100,586","94,166",6.82%
222,WP,CA,RDD,Redding,Redding Regional,P,N,"98,725","58,295",69.35%
223,WP,HI,MKK,Kaunakakai,Molokai,P,N,"98,223","68,251",43.91%
224,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,"94,648","80,366",17.77%
225,CE,NE,LNK,Lincoln,Lincoln,P,N,"93,953","93,740",0.23%
Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,"CY 22
Enplanement s","CY 21
Enplanement s",% Change
226,WP,AZ,FLG,- Flagstaff,Flagstaff Pulliam,P,N,"92,535","115,596",-19.95%
227,EA,WV,HTS,Huntington,Tri-State/Milton J Ferguson Field,P,N,"91,091","94,973",-4.09%
228,GL,ND,GFK,Grand Forks,Grand Forks International,P,N,"89,819","69,800",28.68%
229,SW,LA,MLU,Monroe,Monroe Regional,P,N,"89,347","84,693",5.50%
230,GL,OH,TOL,Toledo,Eugene F Kranz Toledo Express,P,N,"85,451","85,599",-0.17%
231,GL,MN,RST,Rochester,Rochester International,P,N,"84,504","98,975",-14.62%
232,SO,GA,CSG,Columbus,Columbus,P,N,"84,387","56,520",49.30%
233,GL,MI,LAN,"Clinton
(Township of)",Capital Region International,P,N,"83,426","94,151",-11.39%
234,AL,AK,ADQ,Kodiak,Kodiak,P,N,"82,913","72,905",13.73%
235,NM,MT,HLN,Helena,Helena Regional,P,N,"82,191","71,305",15.27%
236,EA,NY,ELM,Elmira,Elmira/Corning Regional,P,N,"81,796","76,947",6.30%
237,CE,MO,COU,Columbia,Columbia Regional,P,N,"81,643","79,775",2.34%
238,EA,VA,PHF,Newport News,"Newport News/Williamsburg
International",P,N,"80,228","83,943",-4.43%
239,NE,MA,ORH,Worcester,Worcester Regional,P,N,"80,089","14,301",460.02%
240,CE,KS,MHK,Manhattan,Manhattan Regional,P,N,"79,050","60,030",31.68%
241,GL,WI,CWA,Mosinee,Central Wisconsin,P,N,"78,189","98,087",-20.29%
242,EA,VA,LYH,Timberlake,"Lynchburg Regional/Preston Glenn
Field",P,N,"76,642","70,458",8.78%
243,AL,AK,ENA,Kenai,Kenai Municipal,P,N,"75,088","68,044",10.35%
244,NM,WA,PUW,Pullman,Pullman/Moscow Regional,P,N,"75,027","54,473",37.73%
245,EA,NY,PBG,Plattsburgh,Plattsburgh International,P,N,"74,668","40,751",83.23%
246,WP,CA,SCK,Stockton,Stockton Metro,P,N,"74,529","69,235",7.65%
247,AL,AK,SCC,Deadhorse,Deadhorse,P,N,"73,334","64,245",14.15%
248,NM,WY,CPR,Casper,"Casper/Natrona County
International",P,N,"72,645","66,629",9.03%
249,GL,MI,AZO,Kalamazoo,"Kalamazoo/Battle Creek
International",P,N,"72,551","79,542",-8.79%
250,GL,IL,SPI,Springfield,Abraham Lincoln Capital,P,N,"72,466","60,949",18.90%
251,SW,TX,ABI,Abilene,Abilene Regional,P,N,"70,419","75,402",-6.61%
252,GL,MI,MBS,Saginaw,MBS International,P,N,"70,172","68,806",1.99%
253,NE,MA,MVY,Vineyard Haven,Martha's Vineyard,P,N,"70,098","67,789",3.41%
254,GL,ND,XWA,Williston,Williston Basin International,P,N,"66,287","46,577",42.32%
255,CE,NE,GRI,Grand Island,Central Nebraska Regional,P,N,"65,795","55,904",17.69%
256,GL,WI,LSE,La Crosse,La Crosse Regional,P,N,"65,268","82,683",-21.06%
257,GL,IL,CMI,Savoy,University of Illinois/Willard,P,N,"64,715","56,700",14.14%
258,NE,NH,PSM,Portsmouth,Portsmouth International at Pease,P,N,"64,314","66,972",-3.97%
259,SO,NC,EWN,New Bern,Coastal Carolina Regional,P,N,"64,011","76,228",-16.03%
260,WP,NV,BVU,Boulder City,Boulder City Municipal,P,N,"63,243","27,984",126.00%
261,AL,AK,OME,Nome,Nome,P,N,"62,785","46,645",34.60%
262,EA,PA,ERI,Erie,Erie International/Tom Ridge Field,P,N,"61,860","69,170",-10.57%
263,SW,LA,LCH,Lake Charles,Lake Charles Regional,P,N,"61,288","52,726",16.24%
264,SW,AR,FSM,Fort Smith,Fort Smith Regional,P,N,"59,688","45,369",31.56%
265,EA,NY,IAG,Niagara Falls,Niagara Falls International,P,N,"58,741","42,471",38.31%
266,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,"56,851","46,305",22.78%
267,EA,NY,ITH,Ithaca,Ithaca Tompkins International,P,N,"56,509","57,750",-2.15%
268,SW,NM,ROW,Roswell,Roswell Air Center,P,N,"55,563","44,879",23.81%
269,WP,AZ,IFP,Bullhead City,Laughlin/Bullhead International,P,N,"55,106","50,814",8.45%
270,SW,TX,ACT,Waco,Waco Regional,P,N,"54,899","47,541",15.48%
271,SW,TX,CLL,College Station,Easterwood Field,P,N,"54,542","67,033",-18.63%
Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,"CY 22
Enplanement s","CY 21
Enplanement s",% Change
272,SW,TX,SJT,San Angelo,San Angelo Regional/Mathis Field,P,N,"54,347","60,115",-9.59%
273,NM,CO,GUC,Gunnison,Gunnison-Crested Butte Regional,P,N,"52,040","38,783",34.18%
274,EA,MD,SBY,Salisbury,"Salisbury-Ocean City Wicomico
Regional",P,N,"47,275","58,574",-19.29%
275,EA,WV,CKB,Clarksburg,North Central West Virginia,P,N,"46,508","37,165",25.14%
276,SO,MS,GTR,Columbus,Golden Triangle Regional,P,N,"42,896","36,235",18.38%
277,GL,MI,SAW,Gwinn,Marquette/Sawyer Regional,P,N,"42,664","51,846",-17.71%
279,SW,OK,LAW,Lawton,Lawton-Fort Sill Regional,P,N,"41,890","39,336",6.49%
280,NM,ID,LWS,Lewiston,Lewiston/Nez Perce County,P,N,"41,720","30,892",35.05%
281,SW,TX,TYR,Tyler,Tyler Pounds Regional,P,N,"40,548","39,943",1.51%
